2025-07-31 11:30:06.114 [Info] [SpeedTUI][Startup] SpeedTUI 1.0.0 starting up
2025-07-31 11:30:06.898 [Debug] [DashboardScreen][Constructor] Enhanced component created | Type=DashboardScreen Id=366f3fa3-f9da-43ab-97b0-96a24adc5a49
2025-07-31 11:30:34.171 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:34.174 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=UpArrow
2025-07-31 11:30:34.178 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Friday Hours CurrentFieldIndex=8 Key=UpArrow
2025-07-31 11:30:34.181 [Debug] [SpeedTUI][FormManager] Moved to previous field via UpArrow | NewFieldIndex=7 NewFieldLabel=Thursday Hours
2025-07-31 11:30:34.236 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:34.269 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:34.281 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:34.393 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:34.397 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=UpArrow
2025-07-31 11:30:34.400 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Thursday Hours CurrentFieldIndex=7 Key=UpArrow
2025-07-31 11:30:34.403 [Debug] [SpeedTUI][FormManager] Moved to previous field via UpArrow | NewFieldIndex=6 NewFieldLabel=Wednesday Hours
2025-07-31 11:30:34.459 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:34.492 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:34.510 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:34.574 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:34.578 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=UpArrow
2025-07-31 11:30:34.583 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Wednesday Hours CurrentFieldIndex=6 Key=UpArrow
2025-07-31 11:30:34.586 [Debug] [SpeedTUI][FormManager] Moved to previous field via UpArrow | NewFieldIndex=5 NewFieldLabel=Tuesday Hours
2025-07-31 11:30:34.640 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:34.680 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:34.690 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:34.757 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:34.760 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=UpArrow
2025-07-31 11:30:34.764 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Tuesday Hours CurrentFieldIndex=5 Key=UpArrow
2025-07-31 11:30:34.767 [Debug] [SpeedTUI][FormManager] Moved to previous field via UpArrow | NewFieldIndex=4 NewFieldLabel=Monday Hours
2025-07-31 11:30:34.821 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:34.863 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:34.876 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:34.939 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:34.943 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=UpArrow
2025-07-31 11:30:34.947 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Monday Hours CurrentFieldIndex=4 Key=UpArrow
2025-07-31 11:30:34.954 [Debug] [SpeedTUI][FormManager] Moved to previous field via UpArrow | NewFieldIndex=3 NewFieldLabel=Week Ending (Friday)
2025-07-31 11:30:35.009 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:35.050 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:35.088 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:35.114 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:35.119 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=UpArrow
2025-07-31 11:30:35.123 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Week Ending (Friday) CurrentFieldIndex=3 Key=UpArrow
2025-07-31 11:30:35.129 [Debug] [SpeedTUI][FormManager] Moved to previous field via UpArrow | NewFieldIndex=2 NewFieldLabel=Project Name
2025-07-31 11:30:35.183 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:35.221 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:35.232 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:35.304 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:30:35.307 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=UpArrow
2025-07-31 11:30:35.311 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project Name CurrentFieldIndex=2 Key=UpArrow
2025-07-31 11:30:35.314 [Debug] [SpeedTUI][FormManager] Moved to previous field via UpArrow | NewFieldIndex=1 NewFieldLabel=Project ID2
2025-07-31 11:30:35.368 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:35.410 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:35.418 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:41.319 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=48 CurrentScreen=TimeTrackingScreen Key=D0
2025-07-31 11:30:41.327 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=D0
2025-07-31 11:30:41.338 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project ID2 CurrentFieldIndex=1 Key=D0
2025-07-31 11:30:41.378 [Trace] [SpeedTUI][InputField] HandleInput | KeyChar=48 CurrentValue= Label=Project ID2 CursorPos=0 Key=D0
2025-07-31 11:30:41.456 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:41.492 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:41.500 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:41.508 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=52 CurrentScreen=TimeTrackingScreen Key=D4
2025-07-31 11:30:41.511 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=D4
2025-07-31 11:30:41.514 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project ID2 CurrentFieldIndex=1 Key=D4
2025-07-31 11:30:41.522 [Trace] [SpeedTUI][InputField] HandleInput | KeyChar=52 CurrentValue=0 Label=Project ID2 CursorPos=1 Key=D4
2025-07-31 11:30:41.578 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:41.610 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:41.631 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:41.662 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=48 CurrentScreen=TimeTrackingScreen Key=D0
2025-07-31 11:30:41.666 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=D0
2025-07-31 11:30:41.669 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project ID2 CurrentFieldIndex=1 Key=D0
2025-07-31 11:30:41.672 [Trace] [SpeedTUI][InputField] HandleInput | KeyChar=48 CurrentValue=04 Label=Project ID2 CursorPos=2 Key=D0
2025-07-31 11:30:41.731 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:41.770 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:41.779 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:42.874 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:42.884 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=DownArrow
2025-07-31 11:30:42.924 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project ID2 CurrentFieldIndex=1 Key=DownArrow
2025-07-31 11:30:42.934 [Debug] [SpeedTUI][FormManager] Moved to next field via DownArrow | NewFieldIndex=2 NewFieldLabel=Project Name
2025-07-31 11:30:42.994 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:43.071 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:43.078 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:48.914 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=97 CurrentScreen=TimeTrackingScreen Key=A
2025-07-31 11:30:48.923 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=A
2025-07-31 11:30:48.928 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project Name CurrentFieldIndex=2 Key=A
2025-07-31 11:30:48.931 [Trace] [SpeedTUI][InputField] HandleInput | KeyChar=97 CurrentValue= Label=Project Name CursorPos=0 Key=A
2025-07-31 11:30:48.990 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:49.055 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:49.073 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:49.290 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=97 CurrentScreen=TimeTrackingScreen Key=A
2025-07-31 11:30:49.294 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=A
2025-07-31 11:30:49.297 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project Name CurrentFieldIndex=2 Key=A
2025-07-31 11:30:49.303 [Trace] [SpeedTUI][InputField] HandleInput | KeyChar=97 CurrentValue=a Label=Project Name CursorPos=1 Key=A
2025-07-31 11:30:49.359 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:49.392 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:49.407 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:50.978 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=100 CurrentScreen=TimeTrackingScreen Key=D
2025-07-31 11:30:50.980 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=D
2025-07-31 11:30:50.983 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project Name CurrentFieldIndex=2 Key=D
2025-07-31 11:30:50.986 [Trace] [SpeedTUI][InputField] HandleInput | KeyChar=100 CurrentValue=aa Label=Project Name CursorPos=2 Key=D
2025-07-31 11:30:51.043 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:51.079 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:51.090 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:51.470 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=109 CurrentScreen=TimeTrackingScreen Key=M
2025-07-31 11:30:51.477 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=M
2025-07-31 11:30:51.485 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project Name CurrentFieldIndex=2 Key=M
2025-07-31 11:30:51.493 [Trace] [SpeedTUI][InputField] HandleInput | KeyChar=109 CurrentValue=aad Label=Project Name CursorPos=3 Key=M
2025-07-31 11:30:51.552 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:51.618 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:51.628 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:51.639 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=105 CurrentScreen=TimeTrackingScreen Key=I
2025-07-31 11:30:51.643 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=I
2025-07-31 11:30:51.646 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project Name CurrentFieldIndex=2 Key=I
2025-07-31 11:30:51.652 [Trace] [SpeedTUI][InputField] HandleInput | KeyChar=105 CurrentValue=aadm Label=Project Name CursorPos=4 Key=I
2025-07-31 11:30:51.706 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:51.743 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:51.756 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:51.779 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=110 CurrentScreen=TimeTrackingScreen Key=N
2025-07-31 11:30:51.785 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=N
2025-07-31 11:30:51.788 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project Name CurrentFieldIndex=2 Key=N
2025-07-31 11:30:51.792 [Trace] [SpeedTUI][InputField] HandleInput | KeyChar=110 CurrentValue=aadmi Label=Project Name CursorPos=5 Key=N
2025-07-31 11:30:51.852 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:51.896 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:51.911 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:52.910 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:52.919 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=DownArrow
2025-07-31 11:30:52.930 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project Name CurrentFieldIndex=2 Key=DownArrow
2025-07-31 11:30:52.939 [Debug] [SpeedTUI][FormManager] Moved to next field via DownArrow | NewFieldIndex=3 NewFieldLabel=Week Ending (Friday)
2025-07-31 11:30:52.998 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:53.087 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:53.100 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:30:59.620 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:30:59.628 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=DownArrow
2025-07-31 11:30:59.645 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Week Ending (Friday) CurrentFieldIndex=3 Key=DownArrow
2025-07-31 11:30:59.654 [Debug] [SpeedTUI][FormManager] Moved to next field via DownArrow | NewFieldIndex=4 NewFieldLabel=Monday Hours
2025-07-31 11:30:59.713 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:30:59.792 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:30:59.803 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:31:00.279 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=DownArrow
2025-07-31 11:31:00.288 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=DownArrow
2025-07-31 11:31:00.305 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Monday Hours CurrentFieldIndex=4 Key=DownArrow
2025-07-31 11:31:00.315 [Debug] [SpeedTUI][FormManager] Moved to next field via DownArrow | NewFieldIndex=5 NewFieldLabel=Tuesday Hours
2025-07-31 11:31:00.375 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:00.439 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:31:00.452 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:31:02.393 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=50 CurrentScreen=TimeTrackingScreen Key=D2
2025-07-31 11:31:02.402 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=D2
2025-07-31 11:31:02.412 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Tuesday Hours CurrentFieldIndex=5 Key=D2
2025-07-31 11:31:02.424 [Trace] [SpeedTUI][InputField] HandleInput | KeyChar=50 CurrentValue= Label=Tuesday Hours CursorPos=0 Key=D2
2025-07-31 11:31:02.502 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:02.575 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:31:02.585 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:31:03.628 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=13 CurrentScreen=TimeTrackingScreen Key=Enter
2025-07-31 11:31:03.645 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=Enter
2025-07-31 11:31:03.656 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Tuesday Hours CurrentFieldIndex=5 Key=Enter
2025-07-31 11:31:03.728 [Debug] [SpeedTUI][FormManager] Form validation result | InvalidFields=Project ID1 IsValid=False
2025-07-31 11:31:03.738 [Debug] [SpeedTUI][FormManager] Moved to first invalid field | FieldLabel=Project ID1 ValidationError=This field is required
2025-07-31 11:31:03.793 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:03.835 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:31:03.844 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=25
2025-07-31 11:31:08.529 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=49 CurrentScreen=TimeTrackingScreen Key=D1
2025-07-31 11:31:08.535 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=D1
2025-07-31 11:31:08.541 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project ID1 CurrentFieldIndex=0 Key=D1
2025-07-31 11:31:08.551 [Trace] [SpeedTUI][InputField] HandleInput | KeyChar=49 CurrentValue= Label=Project ID1 CursorPos=0 Key=D1
2025-07-31 11:31:08.605 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:08.669 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:31:08.684 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:31:08.696 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=49 CurrentScreen=TimeTrackingScreen Key=D1
2025-07-31 11:31:08.699 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=D1
2025-07-31 11:31:08.702 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project ID1 CurrentFieldIndex=0 Key=D1
2025-07-31 11:31:08.705 [Trace] [SpeedTUI][InputField] HandleInput | KeyChar=49 CurrentValue=1 Label=Project ID1 CursorPos=1 Key=D1
2025-07-31 11:31:08.759 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:08.806 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:31:08.820 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:31:08.835 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=49 CurrentScreen=TimeTrackingScreen Key=D1
2025-07-31 11:31:08.838 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=D1
2025-07-31 11:31:08.841 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project ID1 CurrentFieldIndex=0 Key=D1
2025-07-31 11:31:08.845 [Trace] [SpeedTUI][InputField] HandleInput | KeyChar=49 CurrentValue=11 Label=Project ID1 CursorPos=2 Key=D1
2025-07-31 11:31:08.900 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:08.958 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=6 AddFormExists=True ViewMode=Add EditFormExists=True
2025-07-31 11:31:08.979 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=24
2025-07-31 11:31:11.553 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=13 CurrentScreen=TimeTrackingScreen Key=Enter
2025-07-31 11:31:11.562 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=Add KeyString=Enter
2025-07-31 11:31:11.568 [Trace] [SpeedTUI][FormManager] HandleInput | CurrentFieldLabel=Project ID1 CurrentFieldIndex=0 Key=Enter
2025-07-31 11:31:11.584 [Debug] [SpeedTUI][FormManager] Form validation result | InvalidFields= IsValid=True
2025-07-31 11:31:11.596 [Debug] [SpeedTUI][FormManager] Form submitted successfully
2025-07-31 11:31:11.619 [Debug] [SpeedTUI][FormManager] GetFormData | Keys=Friday Hours, Thursday Hours, Project ID2, Project Name, Wednesday Hours, Monday Hours, Tuesday Hours, Project ID1, Week Ending (Friday) FieldCount=9
2025-07-31 11:31:12.017 [Debug] [SpeedTUI][TimeTrackingService] Cleared time tracking caches
2025-07-31 11:31:12.143 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:12.174 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=List EditFormExists=True
2025-07-31 11:31:12.200 [Trace] [SpeedTUI][MainLoop] Screen rendered | LineCount=22
2025-07-31 11:31:14.789 [Trace] [SpeedTUI][MainLoop] Key pressed | KeyChar=0 CurrentScreen=TimeTrackingScreen Key=UpArrow
2025-07-31 11:31:14.794 [Debug] [SpeedTUI][MainLoop] TimeTrackingScreen input | HasHandleKey=True ViewMode=List KeyString=UpArrow
2025-07-31 11:31:14.851 [Trace] [SpeedTUI][MainLoop] Refresh needed | ScreenDetails=System.Collections.Hashtable CurrentScreen=TimeTrackingScreen
2025-07-31 11:31:14.893 [Trace] [SpeedTUI][TimeTrackingScreen] Render start | TimeEntriesCount=7 AddFormExists=True ViewMode=List EditFormExists=True
